City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Castro,BR,77.88,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
10,Hobyo,SO,79.05,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
12,Rikitea,PF,77.49,broken clouds,-23.1203,-134.9692,People ThankYou
13,Riohacha,CO,86.63,overcast clouds,11.5444,-72.9072,Hotel Taroa
22,Sur,OM,72.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
23,Samarai,PG,81.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
24,Sao Filipe,CV,75.65,few clouds,14.8961,-24.4956,Hotel Xaguate
25,Bandarbeyla,SO,77.11,clear sky,9.4942,50.8122,JABIR HOTEL
27,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
28,Sao Joao Da Barra,BR,86.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
31,Atuona,PF,78.67,scattered clouds,-9.8,-139.0333,Villa Enata
32,Bonthe,SL,82.18,broken clouds,7.5264,-12.505,Bonthe Holiday Village
33,Cidreira,BR,75.43,few clouds,-30.1811,-50.2056,Hotel Castelo
36,Butaritari,KI,82.08,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Nabire,ID,76.8,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
41,Lethem,GY,88.25,moderate rain,3.3803,-59.7968,Savannah Inn
50,Port Elizabeth,ZA,72.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
51,Banda Aceh,ID,79.45,few clouds,5.5577,95.3222,Sulthan Hotel International
53,Patrocinio,BR,80.96,overcast clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
55,East London,ZA,71.26,moderate rain,-33.0153,27.9116,Tu Casa
56,Tabuk,PH,70.56,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
57,Sal Rei,CV,75.76,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
58,Tomatlan,MX,87.75,scattered clouds,19.9333,-105.25,El Salvial
61,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
