City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Murdochville,CA,48.9583,-65.5006,24.3,77,92,24.0,overcast clouds
1,Qaanaaq,GL,77.484,-69.3632,-4.02,68,56,3.33,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,67.89,78,100,10.71,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,48.47,94,82,1.03,broken clouds
4,Bethel,US,41.3712,-73.414,47.43,38,1,4.0,clear sky
5,Provideniya,RU,64.3833,-173.3,-10.17,89,51,6.08,broken clouds
6,Mahebourg,MU,-20.4081,57.7,79.09,69,40,11.5,scattered clouds
7,Ilulissat,GL,69.2167,-51.1,17.62,73,75,1.14,broken clouds
8,Castro,BR,-24.7911,-50.0119,77.88,44,94,5.41,overcast clouds
9,Busselton,AU,-33.65,115.3333,52.05,72,69,10.07,broken clouds
10,Hobyo,SO,5.3505,48.5268,79.05,80,61,19.39,broken clouds
11,Dali,CN,25.7,100.1833,46.26,74,5,2.37,clear sky
12,Rikitea,PF,-23.1203,-134.9692,77.49,75,72,9.28,broken clouds
13,Riohacha,CO,11.5444,-72.9072,86.63,55,98,14.0,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,46.06,71,75,29.93,drizzle
15,Paamiut,GL,61.994,-49.6678,10.63,77,38,4.14,scattered clouds
16,Vostok,RU,46.4856,135.8833,3.94,95,100,8.88,light snow
17,Bredasdorp,ZA,-34.5322,20.0403,66.27,80,100,6.85,overcast clouds
18,Airai,TL,-8.9266,125.4092,61.39,91,100,1.32,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,16.11,scattered clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,-7.22,96,100,16.04,overcast clouds
21,Lavrentiya,RU,65.5833,-171.0,-13.09,83,2,4.63,clear sky
22,Sur,OM,22.5667,59.5289,72.34,57,2,7.81,clear sky
23,Samarai,PG,-10.6167,150.6667,81.77,81,100,12.62,overcast clouds
24,Sao Filipe,CV,14.8961,-24.4956,75.65,69,20,9.95,few clouds
25,Bandarbeyla,SO,9.4942,50.8122,77.11,80,6,24.07,clear sky
26,Otradnoye,RU,59.7775,30.8181,23.56,97,97,5.55,light snow
27,Georgetown,MY,5.4112,100.3354,81.9,80,40,8.05,scattered clouds
28,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,80,77,18.41,broken clouds
29,Dikson,RU,73.5069,80.5464,-18.9,94,68,12.06,broken clouds
30,Dunedin,NZ,-45.8742,170.5036,53.8,80,32,3.0,scattered clouds
31,Atuona,PF,-9.8,-139.0333,78.67,78,30,18.86,scattered clouds
32,Bonthe,SL,7.5264,-12.505,82.18,76,61,8.93,broken clouds
33,Cidreira,BR,-30.1811,-50.2056,75.43,73,14,10.42,few clouds
34,Tashtagol,RU,52.7657,87.8894,18.57,95,100,6.71,snow
35,San Patricio,US,28.017,-97.5169,61.21,35,0,6.73,clear sky
36,Butaritari,KI,3.0707,172.7902,82.08,74,98,18.01,overcast clouds
37,Nabire,ID,-3.3667,135.4833,76.8,90,100,3.94,light rain
38,Litovko,RU,49.2361,135.1742,13.44,95,100,5.64,overcast clouds
39,Drumheller,CA,51.4617,-112.7101,26.47,84,23,2.01,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,51.91,32,75,23.02,broken clouds
41,Lethem,GY,3.3803,-59.7968,88.25,56,97,10.69,moderate rain
42,Evensk,RU,61.95,159.2333,10.2,49,100,24.43,overcast clouds
43,Pombia,IT,45.653,8.6336,41.61,77,0,4.61,clear sky
44,Albany,US,42.6001,-73.9662,44.58,42,9,1.01,clear sky
45,Cape Town,ZA,-33.9258,18.4232,68.34,74,100,3.0,overcast clouds
46,Mingguang,CN,32.7802,117.9638,37.6,54,1,5.41,clear sky
47,New Norfolk,AU,-42.7826,147.0587,49.91,72,10,2.15,clear sky
48,Baykit,RU,61.67,96.37,-22.02,99,86,2.86,overcast clouds
