City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vila Do Maio,CV,2021-12-12 14:11:35,15.1333,-23.2167,79.59,70,49,10.96
1,Sao Filipe,CV,2021-12-12 14:11:35,14.8961,-24.4956,76.21,68,16,9.69
2,Tobol,KZ,2021-12-12 14:11:36,52.6844,62.5794,6.24,92,13,5.99
3,Cape Town,ZA,2021-12-12 14:11:36,-33.9258,18.4232,77.09,50,100,1.99
4,Mount Isa,AU,2021-12-12 14:11:36,-20.7333,139.5,82.17,15,0,8.05
5,Thompson,CA,2021-12-12 14:11:37,55.7435,-97.8558,2.07,98,100,3.24
6,Albany,US,2021-12-12 14:11:37,42.6001,-73.9662,39.09,71,15,1.01
7,Ambon,ID,2021-12-12 14:11:37,-3.6954,128.1814,82.51,79,100,5.57
8,Nikolskoye,RU,2021-12-12 14:11:37,59.7035,30.7861,23.4,96,94,5.55
9,Rikitea,PF,2021-12-12 14:11:38,-23.1203,-134.9692,76.23,75,26,3.36
10,Atuona,PF,2021-12-12 14:11:38,-9.8,-139.0333,78.22,78,25,18.59
11,Zinder,NE,2021-12-12 14:11:38,13.8072,8.9881,90.1,9,68,11.97
12,Puerto Ayora,EC,2021-12-12 14:11:39,-0.7393,-90.3518,73.36,89,100,3.0
13,Saskylakh,RU,2021-12-12 14:11:39,71.9167,114.0833,-45.2,100,68,3.33
14,Yellowknife,CA,2021-12-12 14:11:39,62.456,-114.3525,10.42,95,100,8.99
15,Schwarzenbach,DE,2021-12-12 14:11:39,49.7333,12.0,37.44,86,99,6.82
16,Kalulushi,ZM,2021-12-12 14:11:40,-12.8378,28.0919,92.19,19,55,3.31
17,Mataura,NZ,2021-12-12 14:11:40,-46.1927,168.8643,44.47,99,67,2.1
18,Chuy,UY,2021-12-12 14:11:40,-33.6971,-53.4616,77.97,52,0,7.27
19,Provideniya,RU,2021-12-12 14:11:41,64.3833,-173.3,-9.62,87,39,4.92
20,Qui Nhon,VN,2021-12-12 14:11:41,13.7667,109.2333,73.26,87,73,18.41
21,Cortez,US,2021-12-12 14:11:41,37.3489,-108.5859,25.7,85,1,4.61
22,Hilo,US,2021-12-12 14:11:41,19.7297,-155.09,71.28,77,1,6.91
23,Vaini,TO,2021-12-12 14:11:42,-21.2,-175.2,77.16,94,40,4.61
24,Ribeira Grande,PT,2021-12-12 14:11:42,38.5167,-28.7,59.4,72,40,25.32
25,Georgetown,MY,2021-12-12 14:11:25,5.4112,100.3354,84.88,74,20,3.44
26,Saint-Georges,GD,2021-12-12 14:11:42,12.0564,-61.7485,83.88,74,40,11.5
27,Meulaboh,ID,2021-12-12 14:11:43,4.1363,96.1285,78.91,85,85,2.95
28,Ushuaia,AR,2021-12-12 14:11:43,-54.8,-68.3,47.75,86,100,5.1
29,Hermanus,ZA,2021-12-12 14:11:43,-34.4187,19.2345,73.9,71,100,9.22
30,Mount Gambier,AU,2021-12-12 14:11:43,-37.8333,140.7667,60.26,52,7,6.4
31,Hithadhoo,MV,2021-12-12 14:11:44,-0.6,73.0833,81.46,74,100,8.9
32,Punta Arenas,CL,2021-12-12 14:09:51,-53.15,-70.9167,53.71,58,40,24.16
33,Garowe,SO,2021-12-12 14:11:44,8.4054,48.4845,86.65,31,29,14.79
34,Port Alfred,ZA,2021-12-12 14:11:44,-33.5906,26.891,74.19,76,60,13.82
35,Castro,BR,2021-12-12 14:11:45,-24.7911,-50.0119,83.73,35,90,4.47
36,Kruisfontein,ZA,2021-12-12 14:11:45,-34.0033,24.7314,74.88,69,100,13.62
37,Kodiak,US,2021-12-12 14:09:00,57.79,-152.4072,11.71,52,1,18.41
38,Axim,GH,2021-12-12 14:11:45,4.8699,-2.2405,85.42,67,99,9.31
39,Ixtapa,MX,2021-12-12 14:11:46,20.7,-105.2,67.23,94,1,3.44
40,Ilo,PE,2021-12-12 14:11:46,-17.6394,-71.3375,67.91,82,89,8.05
41,Tiksi,RU,2021-12-12 14:11:46,71.6872,128.8694,-21.37,100,95,2.77
42,Buraydah,SA,2021-12-12 14:11:46,26.326,43.975,65.97,25,89,7.7
43,Cherskiy,RU,2021-12-12 14:11:47,68.75,161.3,-43.33,100,49,1.88
44,Inhambane,MZ,2021-12-12 14:11:47,-23.865,35.3833,85.23,69,15,17.58
45,Lorengau,PG,2021-12-12 14:11:47,-2.0226,147.2712,82.54,84,67,8.79
46,Bethel,US,2021-12-12 14:11:48,41.3712,-73.414,42.89,52,1,3.0
47,Gorele,TR,2021-12-12 14:11:48,41.0308,39.0031,56.64,54,45,8.32
48,Makakilo City,US,2021-12-12 14:11:48,21.3469,-158.0858,71.92,83,40,0.0
49,Saint-Pierre,RE,2021-12-12 14:11:49,-21.3393,55.4781,82.29,67,0,26.46
50,Avarua,CK,2021-12-12 14:11:49,-21.2078,-159.775,75.25,88,100,1.14
51,Ostrovnoy,RU,2021-12-12 14:11:49,68.0531,39.5131,28.22,91,100,17.9
52,Sisimiut,GL,2021-12-12 14:11:49,66.9395,-53.6735,18.12,92,94,6.93
53,Katherine,AU,2021-12-12 14:11:50,-14.4667,132.2667,86.32,54,85,6.91
54,North Bend,US,2021-12-12 14:11:50,43.4065,-124.2243,46.08,97,90,4.61
55,Bredasdorp,ZA,2021-12-12 14:11:50,-34.5322,20.0403,71.28,53,100,12.41
56,Busselton,AU,2021-12-12 14:11:51,-33.65,115.3333,55.09,64,13,15.55
57,Sistranda,NO,2021-12-12 14:11:51,63.7256,8.834,39.9,88,100,13.53
58,Itzehoe,DE,2021-12-12 14:11:51,53.921,9.5153,44.94,82,100,4.0
59,Beringovskiy,RU,2021-12-12 14:11:52,63.05,179.3167,-25.11,98,61,8.5
60,Butaritari,KI,2021-12-12 14:11:52,3.0707,172.7902,82.24,72,99,15.93
61,Mar Del Plata,AR,2021-12-12 14:11:52,-38.0023,-57.5575,65.88,97,100,11.99
62,Barrow,US,2021-12-12 14:11:52,71.2906,-156.7887,-7.58,77,75,16.11
63,Mahebourg,MU,2021-12-12 14:11:53,-20.4081,57.7,79.25,67,100,15.23
64,Isangel,VU,2021-12-12 14:11:53,-19.55,169.2667,80.17,86,100,9.08
65,Yambio,SS,2021-12-12 14:11:53,4.5721,28.3955,96.82,16,99,5.99
66,Guozhen,CN,2021-12-12 14:11:54,34.3659,107.359,37.51,63,0,0.98
67,Mumbwa,ZM,2021-12-12 14:11:54,-14.9783,27.0619,95.99,14,54,9.53
